article_id,article_title,article_date,sentence,category,voice
10622,Funeral for killed IDF soldier.,2023-12-13, Funeral  for  killed  IDF  soldier. ,israel,
10622,Funeral for killed IDF soldier.,2023-12-13," As  we've  been  reporting,  Israel's  army  says  10  soldiers  were  killed  in  fighting  in  northern  Gaza  on  yesterday  -  making  it  the  deadliest  day  for  the  military  since  its  ground  offensive  began. ",israel,PASSIVE
10622,Funeral for killed IDF soldier.,2023-12-13, Col  Grinberg  was  killed  in  Gaza  on  Tuesday. ,israel,PASSIVE
