article_id,article_title,article_date,sentence,category,voice
2396,Journalists injured in Gaza hospital air strike,2024-03-31," Four  members  of  the  Islamic  Jihad  (IJ)  militant  group  were  killed  in  the  attack,  the  BBC  understands. ",palestine,PASSIVE
2396,Journalists injured in Gaza hospital air strike,2024-03-31,The  chief  of  the  World  Health  Organization  (WHO)  said  that  four  people  were  killed  and  17  injured  in  the  airstrike. ,palestine,PASSIVE
2396,Journalists injured in Gaza hospital air strike,2024-03-31," Israeli  strikes  killed  77  people  in  Gaza  in  the  past  24  hours,  the  Hamas-run  health  ministry  said  on  Sunday. ",palestine,ACTIVE
2396,Journalists injured in Gaza hospital air strike,2024-03-31, It  reported  that  nine  more  people  died  in  an  Israeli  strike  in  Bani  Suhaila  near  the  city  of  Khan  Younis. ,palestine,ACTIVE
2396,Journalists injured in Gaza hospital air strike,2024-03-31," Mr  Netanyahu  has  faced  widespread  criticism  for  the  security  failure  that  led  to  Hamas's  unprecedented  attack  on  7  October  in  southern  Israel,  during  which  about  1,200  people  were  killed  and  some  253  taken  hostage. ",israel,PASSIVE
2396,Journalists injured in Gaza hospital air strike,2024-03-31," Of  those  taken,  about  130  remain  unaccounted  for,  at  least  34  of  whom  are  presumed  dead. ",israel,
2396,Journalists injured in Gaza hospital air strike,2024-03-31," Since  Israel  launched  its  retaliatory  operation,  saying  it  was  aimed  at  destroying  Hamas,  a  total  of  32,782  Palestinians  have  been  killed  and  75,298  injured,  according  to  the  Hamas-run  health  ministry. ",palestine,PASSIVE
2396,Journalists injured in Gaza hospital air strike,2024-03-31," Earlier  this  month,  US  Defence  Secretary  Lloyd  Austin  said  that,  of  those  killed,  more  than  25,000  were  women  and  children. ",palestine,
