article_id,article_title,article_date,sentence,category,voice
52,The latest from Jerusalem.,2023-11-30," Three  people  have  been  shot  dead  in  Jerusalem,  according  to  Israeli  officials  who  say  two  attackers  were  killed  by  police  and  an  armed  civilian. ",both,PASSIVE
52,The latest from Jerusalem.,2023-11-30," Three  people  have  been  shot  dead  in  Jerusalem,  according  to  Israeli  officials  who  say  two  attackers  were  killed  by  police  and  an  armed  civilian. ",both,
52,The latest from Jerusalem.,2023-11-30," Three  people  have  been  shot  dead  in  Jerusalem,  according  to  Israeli  officials  who  say  two  attackers  were  killed  by  police  and  an  armed  civilian. ",both,ACTIVE
