article_id,article_title,article_date,sentence,category,voice
2815,World Food Programme says Gaza aid convoy blocked,2024-03-05," Last  Thursday,  more  than  100  Palestinians  were  killed  as  crowds  rushed  to  reach  an  aid  convoy,  operated  by  private  contractors,  that  was  being  escorted  by  Israeli  forces  west  of  Gaza  City. ",palestine,PASSIVE
2815,World Food Programme says Gaza aid convoy blocked,2024-03-05, Palestinian  health  officials  said  dozens  were  killed  when  Israeli  forces  opened  fire. ,palestine,PASSIVE
2815,World Food Programme says Gaza aid convoy blocked,2024-03-05, Israel's  military  said  most  died  from  either  being  trampled  or  run  over  by  the  aid  lorries. ,palestine,
2815,World Food Programme says Gaza aid convoy blocked,2024-03-05, The  Hamas-run  health  ministry  in  Gaza  reported  on  Sunday  that  at  least  15  children  had  died  from  malnutrition  and  dehydration  at  the  Kamal  Adwan  hospital. ,palestine,ACTIVE
2815,World Food Programme says Gaza aid convoy blocked,2024-03-05," A  sixteenth  child  died  on  Sunday  at  a  hospital  in  the  southern  city  of  Rafah,  the  Palestinian  official  news  agency  Wafa  reported  on  Monday. ",palestine,ACTIVE
2815,World Food Programme says Gaza aid convoy blocked,2024-03-05," The  Israeli  military  launched  a  large-scale  air  and  ground  campaign  to  destroy  Hamas  -  which  is  proscribed  as  a  terrorist  organisation  by  Israel,  the  UK,  US  and  others  -  after  the  group's  gunmen  killed  about  1,200  people  in  southern  Israel  on  7  October  and  took  253  back  to  Gaza  as  hostages. ",israel,ACTIVE
2815,World Food Programme says Gaza aid convoy blocked,2024-03-05," More  than  30,600  people,  mostly  women  and  children,  have  been  killed  in  Gaza  since  then,  according  to  the  territory's  health  ministry. ",palestine,PASSIVE
