article_id,article_title,article_date,sentence,category,voice
2199,How Gaza hostage raid ended with  Israel striking crowded streets,2024-06-10, The  Hamas  run  health  ministry  says  at  least  274  Palestinians  were  killed  and  almost  700  injured  in  the  assault. ,palestine,PASSIVE
2199,How Gaza hostage raid ended with  Israel striking crowded streets,2024-06-10," Israeli  special  forces  freed  female  hostage  Noa  Argamani  using  the  element  of  surprise  -  but  another  team  which  had  freed  three  male  hostages  came  under  attack  prompting  the  Israeli  military  to  launch  massive  air  strikes  on  crowded  nearby  streets  as  covering  fire,  killing  scores  of  Palestinians. ",palestine,ACTIVE
2199,How Gaza hostage raid ended with  Israel striking crowded streets,2024-06-10," Speaking  from  hospital,  Mr  Arouqi  says  he  was  shot  three  times  in  the  chest  and  stomach. ",palestine,PASSIVE
2199,How Gaza hostage raid ended with  Israel striking crowded streets,2024-06-10," The  Israel  Defense  Forces  (IDF)  says  the  operation  to  free  25-year-old  Noa  Argamani  went  smoothly  as  special  forces  took  her  captors  by  surprise,  and  quickly  killed  the  guards. ",israel,ACTIVE
2199,How Gaza hostage raid ended with  Israel striking crowded streets,2024-06-10," The  special  forces  shot  Ahmed  and  Abdullah  dead  along  with  several  members  of  their  family,  Mr  Abdu  said. ",palestine,ACTIVE
2199,How Gaza hostage raid ended with  Israel striking crowded streets,2024-06-10," The  special  forces  shot  Ahmed  and  Abdullah  dead  along  with  several  members  of  their  family,  Mr  Abdu  said. ",palestine,ACTIVE
2199,How Gaza hostage raid ended with  Israel striking crowded streets,2024-06-10, It  was  in  these  moments  that  so  many  Palestinians  are  likely  to  have  died. ,palestine,
2199,How Gaza hostage raid ended with  Israel striking crowded streets,2024-06-10,"There  were  many  people  killed,  so  many  that  we  couldn't  even  get  to  them. ",palestine,ACTIVE
2199,How Gaza hostage raid ended with  Israel striking crowded streets,2024-06-10," ""Two  of  my  daughters  were  killed  and  the  rest  were  wounded,""  he  said. ",palestine,PASSIVE
