article_id,article_title,article_date,sentence,category,voice
2799,Who was the Hamas leader killed in Beirut?,2024-01-02, Who  was  the  Hamas  leader  killed  in  Beirut? ,palestine,ACTIVE
2799,Who was the Hamas leader killed in Beirut?,2024-01-02," He  was  killed  in  an  explosion  in  Beirut's  southern  suburb  of  Dahiyeh,  an  attack  widely  blamed  on  Israel. ",palestine,PASSIVE
2799,Who was the Hamas leader killed in Beirut?,2024-01-02,  Hamas  deputy  leader  killed  in  Beirut  blastHamas:  Who  are  the  group's  most  prominent  leaders? ,palestine,ACTIVE
2799,Who was the Hamas leader killed in Beirut?,2024-01-02," Lebanese  media  reported  that  he  was  killed  in  an  Israeli  drone  attack  on  Hamas's  office  in  the  southern  Beirut  suburb  of  Dahiyeh,  alongside  six  others  who  were  reported  to  have  also  been  members  of  Hamas. ",palestine,PASSIVE
2799,Who was the Hamas leader killed in Beirut?,2024-01-02, This  is  not  just  about  who  was  killed  but  where  he  was  killed. ,palestine,PASSIVE
2799,Who was the Hamas leader killed in Beirut?,2024-01-02, This  is  not  just  about  who  was  killed  but  where  he  was  killed. ,palestine,PASSIVE
2799,Who was the Hamas leader killed in Beirut?,2024-01-02, A  senior  Hamas  official  killed  in  a  Hezbollah  stronghold  in  Lebanon  is  bound  to  make  things  even  more  precarious  at  a  very  volatile  junction  in  the  fighting. ,palestine,ACTIVE
