article_id,article_title,article_date,sentence,category,voice
2449,Netanyahu defies Biden over Palestinian state,2024-01-21," Hamas  killed  about  1,200  people  -  mostly  civilians  -  and  took  240  hostages  in  their  surprise  attack  on  southern  Israel  on  7  October. ",israel,ACTIVE
2449,Netanyahu defies Biden over Palestinian state,2024-01-21," The  Hamas-run  health  ministry  in  Gaza  said  on  Sunday  that  25,105  people  had  been  killed  in  the  territory  since  7  October. ",palestine,PASSIVE
2449,Netanyahu defies Biden over Palestinian state,2024-01-21," Correction  13th  February:  This  article  wrongly  reported  that  about  1,300  people  had  been  killed  following  the  7th  October  attack  by  Hamas. ",israel,PASSIVE
2449,Netanyahu defies Biden over Palestinian state,2024-01-21," This  was  based  on  counting  those  who  later  died  from  their  injuries  in  addition  to  the  figure  of  more  than  1,200. ",israel,ACTIVE
