article_id,article_title,article_date,sentence,category,voice
10451,"US defence secretary says Israel given 21,000 precision guided missiles.",2024-02-29," The  US  Defense  Secretary  Lloyd  Austin  has  said  more  than  25,000  people  have  been  killed  by  Israel  in  Gaza  since  the  7  October  Hamas  attacks. ",palestine,PASSIVE
10451,"US defence secretary says Israel given 21,000 precision guided missiles.",2024-02-29," The  Hamas-run  health  ministry  in  Gaza  has  previously  said  more  than  30,000  Palestinians  had  been  killed  since  Israel  began  its  retaliatory  military  operation. ",palestine,PASSIVE
10451,"US defence secretary says Israel given 21,000 precision guided missiles.",2024-02-29," The  Israeli  military  has  said  it  has  killed  more  than  10,000  fighters  in  its  air  strikes  and  ground  operations. ",palestine,ACTIVE
