article_id,article_title,article_date,sentence,category,voice
2033,Deputy PM: It's still legal to sell arms to Israel,2024-04-07, There  have  been  calls  for  the  UK  to  stop  arming  Israel  after  seven  aid  workers  were  killed  in  Gaza  this  week. ,palestine,PASSIVE
2033,Deputy PM: It's still legal to sell arms to Israel,2024-04-07," Israel  faced  criticism  from  allies  this  week  after  an  Israel  Defense  Forces  (IDF)  unit  attacked  a  convoy  of  World  Central  Kitchen  vehicles  from  the  air,  killing  seven  people  including  three  British  military  veterans. ",palestine,ACTIVE
2033,Deputy PM: It's still legal to sell arms to Israel,2024-04-07," About  1,200  people  were  killed  and  253  hostages  seized. ",israel,PASSIVE
2033,Deputy PM: It's still legal to sell arms to Israel,2024-04-07," Since  then,  more  than  33,000  people  have  been  killed  in  Gaza,  according  to  the  Hamas-run  health  ministry,  while  about  129  Israeli  hostages  are  still  missing,  with  34  presumed  dead. ",palestine,PASSIVE
2033,Deputy PM: It's still legal to sell arms to Israel,2024-04-07," Since  then,  more  than  33,000  people  have  been  killed  in  Gaza,  according  to  the  Hamas-run  health  ministry,  while  about  129  Israeli  hostages  are  still  missing,  with  34  presumed  dead. ",palestine,
