article_id,article_title,article_date,sentence,category,voice
2030,Defaced Israel-Gaza peace mural painted over by TfL,2024-03-05," Sprayed  onto  the  mural  were  the  words:  'Palestinian  children  killed  since  07.09.23  11,500'  and  'Funded  by  your  taxes. ",palestine,ACTIVE
2030,Defaced Israel-Gaza peace mural painted over by TfL,2024-03-05," Israel  says  more  than  1,200  civilians  were  killed  in  the  attack  and  more  than  250  people  taken  hostage  -  of  whom  130  are  estimated  to  still  be  held  by  Hamas. ",israel,PASSIVE
2030,Defaced Israel-Gaza peace mural painted over by TfL,2024-03-05," The  Hamas-run  health  ministry  has  estimated  more  than  30,000  people  have  been  killed  in  the  strikes. ",palestine,PASSIVE
