article_id,article_title,article_date,sentence,category,voice
1947,Biden says Netanyahu making a 'mistake' on Gaza,2024-04-10,  The  hour-long  interview  was  recorded  last  Wednesday  -  days  after  Israeli  military  strikes  killed  seven  aid  workers  with  World  Central  Kitchen  -  and  it  aired  on  Tuesday  night  on  US  Spanish-language  network  Univision. ,palestine,ACTIVE
1947,Biden says Netanyahu making a 'mistake' on Gaza,2024-04-10," Hamas-led  gunmen  attacked  southern  Israeli  border  communities  on  7  October,  killing  1,200  people  and  taking  more  than  250  hostage. ",israel,ACTIVE
1947,Biden says Netanyahu making a 'mistake' on Gaza,2024-04-10," Israel  says  that  of  130  hostages  still  in  Gaza,  at  least  34  are  dead. ",israel,ACTIVE
1947,Biden says Netanyahu making a 'mistake' on Gaza,2024-04-10," More  than  33,000  Gazans,  the  majority  of  them  civilians,  have  been  killed  during  Israel's  offensive  in  Gaza  since  the  October  attack,  the  Hamas-run  health  ministry  says.  ",palestine,PASSIVE
