article_id,article_title,article_date,sentence,category,voice
2434,Medicine to be sent to Gaza hostages - Israeli PM,2024-01-12," An  estimated  240  people  were  taken  prisoner  in  Hamas's  7  October  attacks,  but  105  were  later  released  by  Hamas  during  a  six-day  ceasefire  at  the  end  of  November,  and  at  least  25  are  believed  to  be  dead.  ",israel,
2434,Medicine to be sent to Gaza hostages - Israeli PM,2024-01-12," Since  the  7  October  attacks,  more  than  23,350  people  have  been  killed  in  Gaza  -  mostly  children  and  women  -  during  retaliatory  military  action  by  Israel,  according  to  the  Hamas-run  health  ministry. ",palestine,PASSIVE
2434,Medicine to be sent to Gaza hostages - Israeli PM,2024-01-12," Israel  says  around  1,200  people  -  mostly  civilians  -  were  killed  in  the  Hamas  attack. ",israel,PASSIVE
2434,Medicine to be sent to Gaza hostages - Israeli PM,2024-01-12," Correction  13th  February:  This  article  wrongly  reported  that  about  1,300  people  had  been  killed  following  the  7th  October  attack  by  Hamas. ",israel,PASSIVE
2434,Medicine to be sent to Gaza hostages - Israeli PM,2024-01-12," This  was  based  on  counting  those  who  later  died  from  their  injuries  in  addition  to  the  figure  of  more  than  1,200. ",israel,ACTIVE
