article_id,article_title,article_date,sentence,category,voice
2364,Israeli minister denies aid workers were targeted,2024-04-04," Israel  says  the  strikes  which  killed  the  workers  were  a  ""grave  mistake""  and  has  promised  an  investigation. ",palestine,ACTIVE
2364,Israeli minister denies aid workers were targeted,2024-04-04," Following  Mr  Andrés'  comments,  Nir  Barkat  told  the  BBC  Israel  was  ""terribly  sorry""  about  killing  the  seven  aid  workers  but  that  ""unfortunately,  in  wars  friendly  fire  happens"". ",palestine,ACTIVE
2364,Israeli minister denies aid workers were targeted,2024-04-04," Hamas,  he  added,  intentionally  attacked  Israeli  villages  on  7  October,  raping  and  killing  women. ",israel,
2364,Israeli minister denies aid workers were targeted,2024-04-04," A  Polish  national,  an  Australian,  a  Palestinian  and  a  dual  US-Canadian  citizen  were  also  killed. ",palestine,PASSIVE
2364,Israeli minister denies aid workers were targeted,2024-04-04," BBC  VERIFY:  What  do  we  know  so  far?WORLD  CENTRAL  KITCHEN:  Facing  danger  to  feed  millionsANALYSIS:  Deadly  strike  shows  aid  workers'  protection  in  crisis,  agencies  sayPROFILES:  Who  were  the  seven  aid  workers  killed  in  Gaza? ",palestine,
2364,Israeli minister denies aid workers were targeted,2024-04-04," More  than  196  aid  workers  have  been  killed  in  Gaza  since  October,  according  to  the  US-funded  Aid  Worker  Security  Database,  which  records  major  incidents  of  violence  against  aid  personnel. ",palestine,PASSIVE
2364,Israeli minister denies aid workers were targeted,2024-04-04, Not  all  have  been  killed  in  the  line  of  duty. ,palestine,PASSIVE
2364,Israeli minister denies aid workers were targeted,2024-04-04," Much  of  the  Gaza  Strip  has  been  devastated  during  the  Israeli  military  operations  that  began  after  Hamas-led  gunmen  attacked  southern  Israel  on  7  October,  killing  about  1,200  people  and  seizing  253  hostages. ",israel,ACTIVE
2364,Israeli minister denies aid workers were targeted,2024-04-04," About  130  of  the  hostages  remain  in  captivity,  at  least  34  of  whom  are  presumed  dead. ",israel,
2364,Israeli minister denies aid workers were targeted,2024-04-04," More  than  33,000  people  have  been  killed  in  Gaza  since  then,  the  Hamas-run  health  ministry  says. ",palestine,PASSIVE
