article_id,article_title,article_date,sentence,category,voice
2800,Who were the seven aid workers killed in Gaza?,2024-04-04, Who  were  the  seven  aid  workers  killed  in  Gaza? ,palestine,
2800,Who were the seven aid workers killed in Gaza?,2024-04-04," Seven  aid  workers  from  the  World  Central  Kitchen  (WCK)  have  been  killed  in  an  Israeli  air  strike  in  Gaza,  the  charity's  founder  says. ",palestine,PASSIVE
2800,Who were the seven aid workers killed in Gaza?,2024-04-04, Here's  what  we  know  about  the  aid  workers  killed. ,palestine,ACTIVE
2800,Who were the seven aid workers killed in Gaza?,2024-04-04," Ms  Frankcom  died  ""doing  the  work  she  loves"",  her  family  said  in  a  statement. ",palestine,ACTIVE
2800,Who were the seven aid workers killed in Gaza?,2024-04-04, Charity  halts  work  in  Gaza  after  strike  kills  staff  Polish  Foreign  Minister  Radoslaw  Sikorski  has  confirmed  Mr  Sobol  was  killed. ,palestine,ACTIVE
2800,Who were the seven aid workers killed in Gaza?,2024-04-04, Charity  halts  work  in  Gaza  after  strike  kills  staff  Polish  Foreign  Minister  Radoslaw  Sikorski  has  confirmed  Mr  Sobol  was  killed. ,palestine,PASSIVE
2800,Who were the seven aid workers killed in Gaza?,2024-04-04," He  was  killed  during  an  attack  which  the  Israeli  army  has  accepted  responsibility  for,""  he  said  in  a  video  message  on  X. ",palestine,PASSIVE
2800,Who were the seven aid workers killed in Gaza?,2024-04-04, Mourners  gathered  in  the  Gazan  city  of  Rafah  on  Tuesday  for  the  funeral  of  the  Palestinian  driver  who  was  killed  in  the  strike. ,palestine,PASSIVE
2800,Who were the seven aid workers killed in Gaza?,2024-04-04, Three  British  nationals  were  killed  in  the  attack. ,palestine,PASSIVE
2800,Who were the seven aid workers killed in Gaza?,2024-04-04," In  a  statement,  they  said  they  were  ""devastated""  to  have  lost  him,  adding  he  died  trying  to  help  people. ",palestine,ACTIVE
2800,Who were the seven aid workers killed in Gaza?,2024-04-04, Mr  Henderson  was  the  third  British  man  killed. ,palestine,
2800,Who were the seven aid workers killed in Gaza?,2024-04-04,"  More  than  196  aid  workers  have  been  killed  in  Gaza  since  October,  according  to  the  US-funded  Aid  Worker  Security  Database,  which  records  major  incidents  of  violence  against  aid  personnel. ",palestine,PASSIVE
2800,Who were the seven aid workers killed in Gaza?,2024-04-04," Most  of  those  killed  since  the  war  broke  out  six  months  ago  worked  for  the  UN  agency  for  Palestinian  refugees,  UNRWA,  which  runs  the  biggest  aid  operation  in  Gaza. ",palestine,
2800,Who were the seven aid workers killed in Gaza?,2024-04-04," About  1,200  people  were  killed  and  253  hostages  taken  when  Hamas  launched  its  unprecedented  attack  on  southern  Israel  on  7  October. ",israel,PASSIVE
2800,Who were the seven aid workers killed in Gaza?,2024-04-04," About  130  hostages  remain  in  captivity,  at  least  34  of  whom  are  presumed  dead. ",israel,
2800,Who were the seven aid workers killed in Gaza?,2024-04-04," Since  then,  more  than  33,000  people  have  been  killed  in  Gaza,  including  many  women  and  children,  the  Hamas-run  health  ministry  says. ",palestine,PASSIVE
