article_id,article_title,article_date,sentence,category,voice
1727,Hostages shot by IDF used food to write 'SOS' sign,2023-12-18, Hostages  shot  by  IDF  used  food  to  write  'SOS'  sign  T-I-T-L-E-E-N-D.  ,israel,ACTIVE
1727,Hostages shot by IDF used food to write 'SOS' sign,2023-12-18," Three  Israeli  hostages  mistakenly  killed  by  soldiers  in  Gaza  on  Friday  had  used  leftover  food  to  write  signs  pleading  for  help,  Israel  says. ",israel,ACTIVE
1727,Hostages shot by IDF used food to write 'SOS' sign,2023-12-18," The  men  had  been  staying  at  the  building  next  to  where  they  were  shot  ""for  some  period  of  time"",  according  to  the  Israel  Defense  Forces  (IDF).  ",israel,PASSIVE
1727,Hostages shot by IDF used food to write 'SOS' sign,2023-12-18,"  The  head  of  the  IDF  told  troops  that  they  are  ""absolutely  not""  permitted  to  shoot  those  surrendering.   ",israel,ACTIVE
1727,Hostages shot by IDF used food to write 'SOS' sign,2023-12-18,"   ""The  IDF  doesn't  shoot  a  person  who  raises  their  hands,""  said  Herzi  Halevi. ",israel,ACTIVE
1727,Hostages shot by IDF used food to write 'SOS' sign,2023-12-18," Israeli  officials  have  admitted  that  killing  the  three  men  who  were  holding  a  white  flag  was  a  breach  of  ""rules  of  engagement"".  ",israel,ACTIVE
1727,Hostages shot by IDF used food to write 'SOS' sign,2023-12-18,"  They  were  seized  and  taken  to  Gaza  during  the  7  October  Hamas  attacks  that  killed  around  1,200  in  southern  Israel. ",israel,ACTIVE
1727,Hostages shot by IDF used food to write 'SOS' sign,2023-12-18,"  More  than  18,000  people  have  been  killed  in  Gaza  since,  according  to  the  local  health  authorities,  with  hundreds  of  thousands  of  others  pushed  out  of  their  homes.  ",palestine,PASSIVE
1727,Hostages shot by IDF used food to write 'SOS' sign,2023-12-18,"  The  Israeli  hostages  -  Yotam  Haim,  28,  Samer  Talalka,  22,  and  Alon  Shamriz,  26  -  were  killed  in  the  Shejaiya  neighbourhood  of  Gaza  City  on  Friday  as  Israeli  troops  face  stiff  resistance. ",israel,PASSIVE
1727,Hostages shot by IDF used food to write 'SOS' sign,2023-12-18," Two  were  immediately  killed  while  the  third,  wounded,  returned  to  the  building. ",israel,PASSIVE
1727,Hostages shot by IDF used food to write 'SOS' sign,2023-12-18," The  wounded  hostage  later  re-emerged,  and  was  shot  and  killed,  the  official  said. ",israel,PASSIVE
1727,Hostages shot by IDF used food to write 'SOS' sign,2023-12-18," The  wounded  hostage  later  re-emerged,  and  was  shot  and  killed,  the  official  said. ",israel,
