article_id,article_title,article_date,sentence,category,voice
2287,Israel military sales ban call shameful - Johnson,2024-04-06, Three  Britons  were  among  seven  aid  workers  killed  in  air  strikes  in  Gaza  carried  out  by  Israel's  army  on  Monday. ,palestine,
2287,Israel military sales ban call shameful - Johnson,2024-04-06," Three  Britons  were  among  the  World  Central  Kitchen  (WCK)  workers  who  died  in  the  strikes:  John  Chapman,  57,  James  ""Jim""  Henderson,  33,  and  James  Kirby,  47. ",palestine,ACTIVE
2287,Israel military sales ban call shameful - Johnson,2024-04-06, What  we  know  about  Israeli  strike  on  aid  convoyInside  IDF's  detailed  briefing  on  aid  convoy  attackWho  were  the  seven  aid  workers  killed  in  Gaza?  ,palestine,PASSIVE
2287,Israel military sales ban call shameful - Johnson,2024-04-06,"  Much  of  the  Gaza  Strip  has  been  devastated  during  the  IDF  military  operations  which  began  after  Hamas  gunmen  attacked  southern  Israel  on  7  October,  killing  about  1,200  people  and  seizing  253  hostages. ",israel,ACTIVE
2287,Israel military sales ban call shameful - Johnson,2024-04-06," More  than  33,137  people  have  been  killed  in  Gaza  since  then,  with  75,815  injured,  according  to  the  Hamas-run  health  ministry. ",palestine,PASSIVE
