article_id,article_title,article_date,sentence,category,voice
10948,"Hamas says more than 16,000 killed in Gaza.",2023-12-05," Hamas  says  more  than  16,000  killed  in  Gaza. ",palestine,ACTIVE
10948,"Hamas says more than 16,000 killed in Gaza.",2023-12-05," Hamas  officials  say  at  least  16,248  people  have  been  killed  in  Gaza  since  the  start  of  the  conflict. ",palestine,PASSIVE
10948,"Hamas says more than 16,000 killed in Gaza.",2023-12-05," Hamas's  media  office  said  more  than  7,000  children  and  nearly  5,000  women  have  been  killed  in  Gaza  over  the  near  two  months  of  fighting,  in  a  statement  provided  to  the  AFP  news  agency. ",palestine,PASSIVE
