article_id,article_title,article_date,sentence,category,voice
1888,"150,000 have fled Gaza's Khan Younis since Monday, UN says",2024-07-23," At  least  80  Palestinians  have  been  killed  in  the  area  since  the  Israeli  operation  began,  according  to  figures  from  Gaza’s  Hamas-run  health  ministry. ",palestine,PASSIVE
1888,"150,000 have fled Gaza's Khan Younis since Monday, UN says",2024-07-23," Israel  launched  a  campaign  in  Gaza  to  destroy  Hamas  in  response  to  an  unprecedented  attack  on  southern  Israel  on  7  October,  during  which  about  1,200  people  were  killed  and  251  others  were  taken  hostage. ",israel,PASSIVE
1888,"150,000 have fled Gaza's Khan Younis since Monday, UN says",2024-07-23," More  than  39,000  people  have  been  killed  in  Gaza  since  then,  according  to  the  territory’s  health  ministry,  whose  figures  do  not  differentiate  between  civilians  and  combatants. ",palestine,PASSIVE
