article_id,article_title,article_date,sentence,category,voice
8557,World Central Kitchen calls for independent investigation into strike.,2024-04-04, World  Central  Kitchen  (WCK)  has  called  for  an  independent  investigation  after  seven  of  its  workers  were  killed  in  an  Israeli  airstrike  in  Gaza. ,palestine,PASSIVE
8557,World Central Kitchen calls for independent investigation into strike.,2024-04-04," The  seven  victims,  who  were  working  for  World  Central  Kitchen  (WCK),  were  killed  when  their  convoy  was  attacked  from  the  air  on  Monday. ",palestine,PASSIVE
8557,World Central Kitchen calls for independent investigation into strike.,2024-04-04, Three  of  the  killed  aid  workers  were  British  nationals  . ,palestine,
8557,World Central Kitchen calls for independent investigation into strike.,2024-04-04," A  Polish  national,  an  Australian,  a  Palestinian  and  a  dual  US-Canadian  citizen  were  also  killed. ",palestine,PASSIVE
