article_id,article_title,article_date,sentence,category,voice
2444,Mother of killed Israeli calls Hamas videos 'psychological warfare',2024-01-16, Mother  of  killed  Israeli  calls  Hamas  videos  'psychological  warfare'  T-I-T-L-E-E-N-D.  ,israel,
2444,Mother of killed Israeli calls Hamas videos 'psychological warfare',2024-01-16," The  mother  of  an  Israeli  hostage  accidentally  killed  by  Israeli  soldiers  in  Gaza  has  described  hostage  videos  released  by  Hamas  as  ""psychological  warfare"". ",israel,ACTIVE
2444,Mother of killed Israeli calls Hamas videos 'psychological warfare',2024-01-16," Iris  Haim  told  BBC  News  that  recent  videos  of  hostages  who  appeared  to  be  dead  were  intended  to  turn  Israelis  against  their  government  to  ""try  and  make  us  weak"". ",israel,
2444,Mother of killed Israeli calls Hamas videos 'psychological warfare',2024-01-16," Eli's  British-Israeli  wife,  Lianne,  and  daughters,  Noiya  and  Yahel  Sharabi,  were  murdered  by  Hamas. ",israel,PASSIVE
2444,Mother of killed Israeli calls Hamas videos 'psychological warfare',2024-01-16," Itai  Svirsky's  parents,  who  he  was  visiting  at  the  kibbutz,  were  both  murdered  in  the  attack. ",israel,PASSIVE
2444,Mother of killed Israeli calls Hamas videos 'psychological warfare',2024-01-16, Hamas  said  the  two  had  been  killed  by  air  strikes. ,israel,PASSIVE
2444,Mother of killed Israeli calls Hamas videos 'psychological warfare',2024-01-16," Mrs  Haim's  own  son  Yotam  was  killed  along  with  two  other  Israeli  captives,  Alon  Shamriz  and  Samer  Talalka  on  15  December. ",israel,PASSIVE
2444,Mother of killed Israeli calls Hamas videos 'psychological warfare',2024-01-16," All  three  were  captured  by  Hamas  gunmen  during  the  group's  attack  on  Israel  on  7  October,  which  killed  around  1,200  people,  mostly  civilians. ",israel,ACTIVE
2444,Mother of killed Israeli calls Hamas videos 'psychological warfare',2024-01-16," Over  24,000  Gazans  have  also  been  killed  -  most  of  them  women  and  children  -  in  the  Israeli  bombardment  since  then,  according  to  the  Hamas-run  health  ministry. ",palestine,PASSIVE
2444,Mother of killed Israeli calls Hamas videos 'psychological warfare',2024-01-16," Israel  says  more  than  9,000  of  those  it  has  killed  were  Hamas  fighters. ",palestine,ACTIVE
2444,Mother of killed Israeli calls Hamas videos 'psychological warfare',2024-01-16," Yotam  was  wounded,  the  other  two  men  killed  on  the  spot. ",israel,ACTIVE
2444,Mother of killed Israeli calls Hamas videos 'psychological warfare',2024-01-16," But  one  of  the  soldiers  shot  nonetheless,  killing  him. ",israel,ACTIVE
2444,Mother of killed Israeli calls Hamas videos 'psychological warfare',2024-01-16," But  one  of  the  soldiers  shot  nonetheless,  killing  him. ",israel,ACTIVE
2444,Mother of killed Israeli calls Hamas videos 'psychological warfare',2024-01-16,"  Stories  of  the  hostages  taken  by  Hamas  from  IsraelThe  man  held  with  the  hostages  Israel  mistakenly  killed  Days  after,  Iris  Haim  recorded  a  message  to  the  soldiers  who  killed  her  son,  telling  them  she  did  not  see  his  death  as  their  fault. ",israel,ACTIVE
2444,Mother of killed Israeli calls Hamas videos 'psychological warfare',2024-01-16,"  Stories  of  the  hostages  taken  by  Hamas  from  IsraelThe  man  held  with  the  hostages  Israel  mistakenly  killed  Days  after,  Iris  Haim  recorded  a  message  to  the  soldiers  who  killed  her  son,  telling  them  she  did  not  see  his  death  as  their  fault. ",israel,ACTIVE
2444,Mother of killed Israeli calls Hamas videos 'psychological warfare',2024-01-16," At  his  funeral,  his  brother  Ido  blamed  the  Israeli  government  for  his  kidnapping  and  death,  saying:  ""The  one  who  abandoned  you  also  murdered  you.  "" ",israel,ACTIVE
2444,Mother of killed Israeli calls Hamas videos 'psychological warfare',2024-01-16," But  she  would  like  the  world  to  know  that  in  her  eyes,  he  died  a  hero. ",israel,ACTIVE
2444,Mother of killed Israeli calls Hamas videos 'psychological warfare',2024-01-16,"Correction  13th  February:  This  article  wrongly  reported  that  about  1,300  people  had  been  killed  following  the  7th  October  attack  by  Hamas. ",israel,PASSIVE
2444,Mother of killed Israeli calls Hamas videos 'psychological warfare',2024-01-16," This  was  based  on  counting  those  who  later  died  from  their  injuries  in  addition  to  the  figure  of  more  than  1,200. ",israel,ACTIVE
