article_id,article_title,article_date,sentence,category,voice
1864,'I don't want to be a number': Gazans live in fear of dying,2023-12-20, She  woke  in  hospital  to  discover  that  her  two-year-old  brother  Hisham  and  many  other  family  members  were  dead. ,palestine,ACTIVE
1864,'I don't want to be a number': Gazans live in fear of dying,2023-12-20, She  lists  the  names  of  those  killed  in  a  voice  that  seems  detached  from  the  immense  loss  she  has  experienced. ,both,
1864,'I don't want to be a number': Gazans live in fear of dying,2023-12-20, That  child  was  also  among  the  dead.  ,palestine,ACTIVE
1864,'I don't want to be a number': Gazans live in fear of dying,2023-12-20,"  What  Gaza's  reported  20,000  deaths  say  about  the  warLive  updates:  Hamas  says  20,000  killed  in  Gaza  as  UN  delays  truce  vote  Rama  survived  with  severe  wounds  to  her  left  hand  and  right  leg,  but  the  hospital  does  not  have  the  facilities  to  treat  her  injuries  properly. ",palestine,ACTIVE
1864,'I don't want to be a number': Gazans live in fear of dying,2023-12-20, They  are  symbols  of  a  vanished  normality  in  a  place  of  the  dead  and  maimed.  ,palestine,
1864,'I don't want to be a number': Gazans live in fear of dying,2023-12-20," I  just  don't  want  to  die  or  get  killed  to  be  another  one  of  those  20,000  people  who  got  killed. ",palestine,
1864,'I don't want to be a number': Gazans live in fear of dying,2023-12-20," I  just  don't  want  to  die  or  get  killed  to  be  another  one  of  those  20,000  people  who  got  killed. ",palestine,
1864,'I don't want to be a number': Gazans live in fear of dying,2023-12-20," I  just  don't  want  to  die  or  get  killed  to  be  another  one  of  those  20,000  people  who  got  killed. ",palestine,PASSIVE
1864,'I don't want to be a number': Gazans live in fear of dying,2023-12-20," ""The  people  of  Gaza  grieve  their  dead  and  live  in  fear  of  dying  themselves. ",palestine,
1864,'I don't want to be a number': Gazans live in fear of dying,2023-12-20," ""The  people  of  Gaza  grieve  their  dead  and  live  in  fear  of  dying  themselves. ",palestine,
1864,'I don't want to be a number': Gazans live in fear of dying,2023-12-20," Each  day,  the  funerals  of  their  dead  bring  forth  corpses  of  all  ages,  wrapped  in  white  shrouds  or  in  plastic  body  bags. ",palestine,
1864,'I don't want to be a number': Gazans live in fear of dying,2023-12-20," He  spreads  his  arms  to  hug  the  dead  man,  his  fingers  grasping  the  plastic  sheeting. ",palestine,
1864,'I don't want to be a number': Gazans live in fear of dying,2023-12-20, They  move  through  the  gates  where  they  stop  and  pray  for  the  dead. ,palestine,
