article_id,article_title,article_date,sentence,category,voice,annotator
219,Councillors quit Labour over Israel-Gaza war,2023-10-27," More  than  1,400  people  were  killed  in  Israel  by  the  armed  group  Hamas  on  7  October. ",israel,PASSIVE,jan
219,Councillors quit Labour over Israel-Gaza war,2023-10-27," Since  then,  about  7,000  people  have  been  killed  -  40%  of  whom  are  children  -  in  Gaza,  according  to  Palestinian  officials.  ",palestine,PASSIVE,jan
390,Glorify Hamas and you break law - terror watchdog,2023-10-14," At  a  pro-Palestinian  rally  in  Manchester  on  8  October,  a  day  after  Hamas  attacked  Israel  killing  hundreds  of  civilians,  a  man  wearing  a  red  football  shirt  with  ""Palestine""  written  on  the  back  told  the  crowd:  ""We  have  all  seen  the  scenes  and  it  is  the  most  inspiring  act  of  resistance.  "" ",israel,ACTIVE,jan
390,Glorify Hamas and you break law - terror watchdog,2023-10-14," I  don't  stand  for  terrorist  attacks,  but  the  fact  that  babies  and  civilians  have  been  killed  on  both  sides,  really  shows  you  the  true  nature  of  the  war. ",both,PASSIVE,jan
1754,Israel-Hamas truce extended at the last minute,2023-11-30," The  truce  has  allowed  a  temporary  halt  to  Israeli  air  strikes  that  began  after  7  October  when  Hamas  launched  a  major  cross-border  attack  in  southern  Israel,  killing  1,200  people  and  taking  hundreds  hostage.  ",israel,ACTIVE,jan
1754,Israel-Hamas truce extended at the last minute,2023-11-30,"  Since  then,  Israel's  air  and  ground  operation  into  Gaza  has  killed  about  15,000  people,  40%  of  which  are  children,  according  to  health  ministry  officials  in  the  Hamas-run  Gaza  Strip. ",palestine,ACTIVE,jan
1479,Fears UK Chevening scholar killed in Gaza,2023-11-09, Fears  UK  Chevening  scholar  killed  in  Gaza  T-I-T-L-E-E-N-D.  ,palestine,ACTIVE,jan
1479,Fears UK Chevening scholar killed in Gaza,2023-11-09," A  Palestinian  doctor  who  graduated  from  a  prestigious  UK  Foreign  Office  scholarship  scheme  is  feared  to  have  been  killed  along  with  most  of  his  family  in  an  Israeli  air  strike  in  Gaza,  colleagues  say.  ",palestine,PASSIVE,jan
1479,Fears UK Chevening scholar killed in Gaza,2023-11-09,"  On  Monday,  Dr  Al  Rayyes's  parents  and  a  nephew  were  found  dead  in  the  rubble  of  the  family  home,  friends  say,  while  Dr  Al  Rayyes  himself  is  yet  to  be  recovered.  ",palestine,,jan
1479,Fears UK Chevening scholar killed in Gaza,2023-11-09,"  But  on  Wednesday  afternoon  while  still  trying  to  reach  their  brother,  Moayed  and  his  older  sibling  Mohammed  Al  Rayyes  were  killed  in  another  blast  on  the  street,  family  friends  say. ",palestine,PASSIVE,jan
1479,Fears UK Chevening scholar killed in Gaza,2023-11-09,"   Hala  Hanini,  a  Chevening  graduate  and  close  friend  of  Dr  Al  Rayyes,  told  the  BBC  it  was  ""disgusting,  disappointing  and  outrageous""  that  the  government  tweeted  its  sympathies  but  did  not  raise  any  questions  over  how  he  was  killed.  ",palestine,PASSIVE,jan
1479,Fears UK Chevening scholar killed in Gaza,2023-11-09,"  ""It's  as  if  he  just  died  of  normal  things,""  she  said. ",palestine,ACTIVE,jan
1479,Fears UK Chevening scholar killed in Gaza,2023-11-09,"  In  Gaza  more  than  10,500  Palestinians  have  been  killed  in  just  over  a  month  according  to  the  health  ministry  in  the  territory,  which  is  governed  by  Hamas  and  has  been  blockaded  by  Israel  and  Egypt  since  2007.  ",palestine,PASSIVE,jan
