article_id,article_title,article_date,sentence,category,voice,annotator
9528,What you need to know so far.,2024-04-02," The  head  of  WCF  has  described  the  incident  as  an  ""unforgiveable  attack""  Canadian  and  US  officials  confirmed  that  a  citizen  with  dual  citizenship  was  among  those  killed  in  the  attack. ",palestine,,
11041,IDF says it killed Hamas battalion commander.,2023-12-04, IDF  says  it  killed  Hamas  battalion  commander. ,palestine,ACTIVE,
11041,IDF says it killed Hamas battalion commander.,2023-12-04," Israeli  forces  have  killed  a  Hamas  commander  named  Haitham  Khuwajari,  the  military  said  in  an  X  post  early  Monday  . ",palestine,ACTIVE,
11041,IDF says it killed Hamas battalion commander.,2023-12-04," Separately,  the  IDF  announced  that  three  soldiers  were  killed  in  battle  on  Sunday. ",israel,PASSIVE,
10808,Today's key developments.,2023-12-11," The  Hamas-run  health  ministry  in  the  Gaza  Strip  said  more  than  18,200  Palestinians  have  been  killed  since  the  war  began  on  7  October,  with  almost  50,000  people  injured. ",palestine,PASSIVE,
9919,Quick recap: Rafah strikes kill dozens as hostages rescued.,2024-02-12, Quick  recap:  Rafah  strikes  kill  dozens  as  hostages  rescued. ,palestine,ACTIVE,
9919,Quick recap: Rafah strikes kill dozens as hostages rescued.,2024-02-12," A  spokesman  for  the  Hamas-run  health  ministry  says  at  least  67  Palestinians  were  killed  in  the  strikes  on  Rafah,  where  1.5  million  people  are  sheltering. ",palestine,PASSIVE,
2672,UN halts Rafah food distribution due to shortages and hostilities,2024-05-22," Israel  launched  a  military  campaign  to  destroy  Hamas  in  response  to  the  group's  cross-border  attack  on  southern  Israel  on  7  October,  during  which  about  1,200  people  were  killed  and  252  others  were  taken  hostage. ",israel,PASSIVE,
2672,UN halts Rafah food distribution due to shortages and hostilities,2024-05-22," More  than  35,640  people  have  been  killed  in  Gaza  since  then,  according  to  the  territory's  Hamas-run  health  ministry. ",palestine,PASSIVE,
2114,"Gaza needs more larger-scale aid now, Germany says",2024-03-16," Aid  has  trickled  into  Gaza  slowly  since  the  start  of  the  war,  which  began  after  Hamas  gunmen  attacked  southern  Israel  on  7  October,  killing  about  1,200  people  and  seizing  253  hostages. ",israel,ACTIVE,
2114,"Gaza needs more larger-scale aid now, Germany says",2024-03-16," Since  then,  more  than  31,400  people  have  been  killed  in  Gaza,  according  to  the  Hamas-run  health  ministry. ",palestine,PASSIVE,
9925,"Israeli strikes on Rafah kill dozens, but conflicting numbers reported.",2024-02-12," Israeli  strikes  on  Rafah  kill  dozens,  but  conflicting  numbers  reported. ",palestine,ACTIVE,
9925,"Israeli strikes on Rafah kill dozens, but conflicting numbers reported.",2024-02-12, There  are  differing  reports  coming  in  from  news  agencies  on  the  number  of  people  killed  by  Israeli  strikes  in  Rafah  overnight. ,palestine,,
9925,"Israeli strikes on Rafah kill dozens, but conflicting numbers reported.",2024-02-12," AFP  is  reporting  that  the  Hamas-run  health  ministry  says  ""about  100""  Palestinians,  including  young  children,  have  been  killed. ",palestine,PASSIVE,
9925,"Israeli strikes on Rafah kill dozens, but conflicting numbers reported.",2024-02-12," Meanwhile,  Reuters  cites  Gaza  health  ministry  spokesperson  Ashraf  Al-Qidra  as  saying  48  Palestinians  have  been  killed  and  dozens  wounded. ",palestine,PASSIVE,
10613,Deadliest year for Palestinians killed in the West Bank - UN refugee agency.,2023-12-13," The  UN  Palestinian  refugee  agency  (Unrwa)  says  that  at  least  288  people  in  its  Gaza  shelters  have  been  killed  since  Hamas's  attack  on  7  October,  in  a  post  on  X  . ",palestine,PASSIVE,
10613,Deadliest year for Palestinians killed in the West Bank - UN refugee agency.,2023-12-13, It  added  that  271  Palestinians  -  including  69  children  -  have  been  killed  by  Israeli  forces  in  the  West  Bank. ,palestine,PASSIVE,
10613,Deadliest year for Palestinians killed in the West Bank - UN refugee agency.,2023-12-13," This,  it  says,  marks  the  ""deadliest  year  for  Palestinians  killed  in  the  West  Bank""  since  the  UN  started  recording  casualties. ",palestine,ACTIVE,
10161,We are pausing our coverage for today.,2023-12-15," To  read  more  about  the  IDF  mistakenly  killing  three  hostages,  head  here. ",israel,ACTIVE,
8352,What Gaza's death toll says about the war.,2023-12-21," On  Wednesday,  Gaza's  Hamas-run  health  ministry  said  that  at  least  20,000  Palestinians  in  Gaza  have  now  been  killed  since  Israel  began  bombing  in  the  territory  in  the  wake  of  Hamas's  7  October  attacks. ",palestine,PASSIVE,
8352,What Gaza's death toll says about the war.,2023-12-21," On  average,  nearly  300  people  have  died  each  day  since  the  start  of  the  conflict,  excluding  the  seven-day  ceasefire. ",both,ACTIVE,
8352,What Gaza's death toll says about the war.,2023-12-21," Counting  the  dead  is  a  challenge  in  any  war  zone  ,  and  doctors  in  Gaza  say  the  death  toll  is  likely  to  be  significantly  higher,  as  it  does  not  include  bodies  buried  under  the  rubble  of  destroyed  buildings  or  those  not  taken  to  hospitals. ",palestine,,
8346,"Hospitals in northern Gaza have become 'hospices', WHO says.",2023-12-21," Hospitals  in  the  north  of  the  territory  have  become  ""hospices""  where  people  are  ""waiting  to  die"",  according  to  the  WHO’s  team  leader  Sean  Casey  after  a  recent  visit. ",palestine,,
10177,IDF investigating deaths of three hostages.,2023-12-15, The  Israeli  military  says  it  killed  three  hostages  who  were  being  held  in  Gaza  after  they  were  “mistakenly  identified  as  a  threat”  in  the  northern  town  of  Shejaiya. ,israel,ACTIVE,
10163,The hostages still in Gaza.,2023-12-15, Israel  says  some  of  the  hostages  who  are  still  unaccounted  for  are  believed  to  be  dead. ,israel,,
8378,'I don't want to be a number': Gazans live in fear of dying.,2023-12-20, She  woke  in  hospital  to  discover  that  her  two-year-old  brother  Hisham  and  many  other  family  members  were  dead. ,palestine,ACTIVE,
8378,'I don't want to be a number': Gazans live in fear of dying.,2023-12-20, She  lists  the  names  of  those  killed  in  a  voice  that  seems  detached  from  the  immense  loss  she  has  experienced. ,both,,
